food_id,name,spicy_level,sweet_level,salt_level,price,cooking_time,category
1,ข้าวผัด,1,1,3,42,15,อาหารจานเดียว
2,ผัดไทย,4,4,3,62,13,อาหารจานเดียว
3,ต้มยำกุ้ง,5,1,4,115,22,แกง
4,ส้มตำ,5,3,3,46,9,ยำ
5,แกงเขียวหวาน,3,3,3,74,29,แกง
6,ผัดกระเพรา,1,2,3,42,16,อาหารจานเดียว
7,ข้าวมันไก่,5,1,2,62,8,อาหารจานเดียว
8,ก๋วยเตี๋ยวเรือ,5,1,3,62,23,อาหารจานเดียว
9,หมูทอดกระเทียม,4,5,2,110,45,อาหารจานเดียว
10,ข้าวหมูกระเทียม,1,1,4,66,20,อาหารจานเดียว
11,แกงมัสมั่น,1,1,2,70,11,แกง
12,แกงส้ม,2,3,2,69,24,แกง
13,ข้าวคลุกกะปิ,1,3,2,79,22,อาหารจานเดียว
14,ข้าวต้มปลา,2,2,3,38,10,อาหารจานเดียว
15,ผัดซีอิ๊ว,4,2,4,129,30,อาหารจานเดียว
16,ข้าวหน้าเป็ด,1,1,3,43,10,อาหารจานเดียว
17,ไก่ทอด,1,2,2,40,23,อาหารจานด่วน
18,กะเพราไก่ไข่ดาว,4,3,2,93,25,อาหารจานด่วน
19,บะหมี่เกี๊ยว,4,4,5,62,16,อาหารจานเดียว
20,ข้าวผัดปู,2,2,4,54,27,อาหารจานเดียว
21,ข้าวผัด,3,1,4,56,6,อาหารจานเดียว
22,ผัดไทย,2,4,4,52,17,อาหารจานเดียว
23,ต้มยำกุ้ง,5,3,5,126,20,แกง
24,ส้มตำ,5,1,3,30,11,ยำ
25,แกงเขียวหวาน,5,2,4,87,28,แกง
26,ผัดกระเพรา,2,3,2,53,16,อาหารจานเดียว
27,ข้าวมันไก่,5,2,2,60,10,อาหารจานเดียว
28,ก๋วยเตี๋ยวเรือ,3,1,3,70,17,อาหารจานเดียว
29,หมูทอดกระเทียม,2,5,3,94,42,อาหารจานเดียว
30,ข้าวหมูกระเทียม,2,1,3,68,13,อาหารจานเดียว
31,แกงมัสมั่น,3,1,3,70,18,แกง
32,แกงส้ม,1,3,1,51,26,แกง
33,ข้าวคลุกกะปิ,2,2,2,87,23,อาหารจานเดียว
34,ข้าวต้มปลา,1,2,1,30,3,อาหารจานเดียว
35,ผัดซีอิ๊ว,2,1,4,123,30,อาหารจานเดียว
36,ข้าวหน้าเป็ด,1,1,1,39,20,อาหารจานเดียว
37,ไก่ทอด,1,3,2,44,18,อาหารจานด่วน
38,กะเพราไก่ไข่ดาว,2,3,2,95,21,อาหารจานด่วน
39,บะหมี่เกี๊ยว,5,2,4,77,12,อาหารจานเดียว
40,ข้าวผัดปู,4,3,2,63,25,อาหารจานเดียว
41,ข้าวผัด,1,2,4,58,14,อาหารจานเดียว
42,ผัดไทย,4,4,4,50,14,อาหารจานเดียว
43,ต้มยำกุ้ง,5,2,3,121,21,แกง
44,ส้มตำ,4,3,5,34,7,ยำ
45,แกงเขียวหวาน,5,2,4,75,29,แกง
